Loan Number,Country / Economy,Region,Loan Type,Loan Status,Board Approval Date,Original Principal Amount (US$),Cancelled Amount (US$),Disbursed Amount (US$),Repaid to IBRD (US$),Due to IBRD (US$),Agreement Signing Date,Effective Date (Most Recent),Last Disbursement Date
LOAN-1905,Bangladesh,South Asia,Agriculture,Effective,2008-05-14,446692076.26,0.0,225328641.64,92009714.1,233899738.86,2007-11-19,2008-10-04,2015-11-06
LOAN-1906,Pakistan,Europe & Central Asia,Infrastructure,Effective,2002-04-27,505071791.86,0.0,495500730.21,359925614.23,168481958.48,2002-03-27,2002-08-08,2003-08-29
LOAN-1907,Indonesia,South Asia,Investment,Repaying,2004-02-29,278180995.56,0.0,243885605.51,23503009.01,72840936.71,2003-10-16,2004-10-01,2009-08-24
LOAN-1908,Bangladesh,South Asia,Climate,Disbursing,2009-06-07,297166989.69,0.0,124086704.84,8216819.67,228644109.32,2009-02-10,2010-01-15,2017-04-14
LOAN-1909,Egypt,Latin America,Investment,Cancelled,2001-05-30,111984829.33,87969629.43,45702378.79,7349370.51,53245470.18,2001-02-21,2002-03-03,2014-06-27
LOAN-1910,India,Latin America,Health,Cancelled,2001-01-12,315440390.68,159943050.96,190400077.68,20836289.66,159165884.09,2000-11-24,2001-06-01,2010-01-14
LOAN-1911,Indonesia,Latin America,Infrastructure,Repaying,2012-01-02,22551082.97,0.0,11520266.2,865154.53,12824830.03,2011-08-22,2012-05-13,2014-11-20
LOAN-1912,Ghana,Europe & Central Asia,Infrastructure,Fully Repaid,2008-08-29,392895095.57,0.0,303957396.66,221314589.73,148139717.59,2008-07-06,2009-01-07,2015-10-14
LOAN-1913,Bangladesh,South Asia,Education,Disbursing&Repaying,2021-11-18,352270711.97,0.0,352270711.97,98786083.88,227417039.69,2021-07-17,2022-07-22,2028-10-17
LOAN-1914,Vietnam,Europe & Central Asia,Education,Disbursing&Repaying,2002-11-18,68997671.5,0.0,48742485.87,8761398.32,21712644.68,2002-09-27,2003-01-04,2015-03-04
LOAN-1915,Nigeria,Europe & Central Asia,Education,Cancelled,2015-10-20,248835917.89,54237264.6,219748411.57,173497278.35,189807947.76,2015-08-25,2016-05-02,2026-04-02
LOAN-1916,Mexico,Africa,Investment,Effective,2005-06-26,150964296.34,0.0,86373819.31,28891547.24,23970074.29,2005-03-27,2006-07-13,2006-07-20
LOAN-1917,Vietnam,Latin America,Health,Fully Repaid,2012-09-20,281899093.19,0.0,281899093.19,228019600.13,132839433.04,2012-07-18,2013-07-16,2018-06-02
LOAN-1918,Indonesia,Europe & Central Asia,Climate,Disbursing,2018-12-01,170438838.76,0.0,151063948.0,120099481.01,118443825.64,2018-08-02,2019-06-11,2026-12-01
LOAN-1919,Pakistan,Latin America,Education,Disbursing,2005-07-26,34547546.75,0.0,27470392.32,1156851.28,8837662.82,2005-06-03,2006-06-28,2013-09-19
LOAN-1920,Bangladesh,Latin America,Infrastructure,Disbursing,2020-09-17,347966221.63,0.0,218533063.09,126596192.01,240819523.22,2020-08-05,2021-05-11,2022-05-13
LOAN-1921,Jordan,Europe & Central Asia,Infrastructure,Fully Repaid,2013-07-02,28276545.49,0.0,25896240.96,1618740.44,3431072.16,2013-04-02,2014-01-25,2023-04-20
LOAN-1922,Kenya,Europe & Central Asia,Climate,Fully Repaid,2022-02-16,465894993.78,0.0,370412088.58,15692691.13,127577358.96,2022-01-06,2022-09-25,2025-04-02
LOAN-1923,India,Latin America,Agriculture,Disbursing&Repaying,2019-07-18,33461371.97,0.0,13662841.05,1292807.05,9775548.43,2019-05-26,2019-10-01,2024-08-25
LOAN-1924,Ghana,Europe & Central Asia,Investment,Disbursing,2004-12-20,593791192.72,0.0,593791192.72,463877627.78,145339757.49,2004-09-24,2005-02-26,2011-09-15
LOAN-1925,Vietnam,Europe & Central Asia,Investment,Cancelled,2020-08-31,476018559.06,131273172.8,334948160.56,210614849.81,353988252.71,2020-07-15,2021-07-26,2030-10-03
LOAN-1926,Egypt,South Asia,Climate,Effective,2014-06-10,315449402.21,0.0,186878142.93,80382668.58,131724692.78,2014-01-28,2014-11-02,2017-04-27
LOAN-1927,Nigeria,Africa,Climate,Disbursing&Repaying,2009-03-27,428271918.96,0.0,292256080.03,219773032.1,99265804.77,2009-02-26,2009-06-03,2021-02-23
LOAN-1928,Brazil,Latin America,Agriculture,Disbursing,2015-04-09,12811223.56,0.0,7339657.26,5406834.12,2446150.33,2014-10-30,2016-02-03,2027-08-14
LOAN-1929,Vietnam,Africa,Infrastructure,Repaying,2009-10-24,426564855.24,0.0,394244663.44,300819039.39,55131526.73,2009-07-08,2010-07-12,2022-02-24
LOAN-1930,Pakistan,East Asia,Agriculture,Cancelled,2004-07-30,116832316.23,55679065.85,72701332.76,10743562.49,32755118.09,2004-06-23,2004-10-24,2010-10-17
LOAN-1931,India,East Asia,Health,Effective,2005-04-22,116282710.8,0.0,49172353.6,29291821.23,45289870.09,2005-03-22,2005-11-19,2015-10-21
LOAN-1932,Pakistan,Latin America,Investment,Effective,2004-05-21,241172160.72,0.0,179595780.47,53944386.12,91887907.17,2003-11-27,2005-01-01,2014-09-07
LOAN-1933,Pakistan,Africa,Investment,Cancelled,2019-06-13,117722532.04,71657271.43,63725100.0,15825053.53,59518875.96,2018-12-20,2019-11-17,2022-10-04
LOAN-1934,Philippines,South Asia,Agriculture,Disbursing,2012-05-10,36616973.75,0.0,15692217.5,3759234.22,3639197.69,2011-11-24,2013-06-02,2022-04-02
LOAN-1935,Bangladesh,East Asia,Agriculture,Repaying,2007-09-03,65276041.82,0.0,64436559.16,51006363.12,16397355.56,2007-05-28,2008-08-24,2014-12-14
LOAN-1936,Nepal,South Asia,Agriculture,Effective,2010-09-14,61074327.19,0.0,49017773.86,30901986.18,24891987.0,2010-06-16,2011-09-27,2013-01-29
LOAN-1937,Mexico,Latin America,Investment,Fully Repaid,2014-12-26,202632413.21,0.0,154846230.36,134099735.03,111351279.87,2014-11-01,2015-06-09,2017-07-13
LOAN-1938,Mexico,South Asia,Investment,Repaying,2021-03-13,358433067.35,0.0,358433067.35,188121076.44,149190776.9,2021-02-20,2021-04-20,2034-09-28
LOAN-1939,Nepal,Latin America,Education,Effective,2015-01-21,317535164.65,0.0,169514175.76,22363100.59,38241577.25,2014-09-08,2015-08-18,2028-02-12
LOAN-1940,Nigeria,East Asia,Climate,Effective,2023-03-25,155854423.06,0.0,119540437.51,89054581.33,42992524.37,2022-10-14,2023-12-27,2026-07-30
LOAN-1941,Nigeria,Europe & Central Asia,Infrastructure,Disbursing&Repaying,2006-05-09,438288247.93,0.0,182582917.02,160814230.26,303382749.66,2005-12-23,2006-06-23,2012-08-26
LOAN-1942,Colombia,Africa,Climate,Disbursing,2012-04-14,127752975.02,0.0,60225203.57,49901551.55,42584371.14,2011-10-14,2013-02-16,2023-03-08
LOAN-1943,Peru,Latin America,Infrastructure,Fully Repaid,2012-05-23,162859053.21,0.0,153617305.19,122770245.59,55904573.32,2012-03-26,2012-07-13,2024-11-16
LOAN-1944,Vietnam,Europe & Central Asia,Investment,Effective,2012-12-08,78161951.85,0.0,78161951.85,39862297.45,50367106.41,2012-11-26,2013-09-19,2017-01-21
LOAN-1945,Egypt,Latin America,Investment,Fully Repaid,2012-12-05,316295770.74,0.0,199843708.51,100386843.43,54388676.28,2012-09-11,2013-01-11,2023-12-06
LOAN-1946,Brazil,Latin America,Climate,Fully Repaid,2015-10-20,173395292.77,0.0,151626778.59,7258973.43,48440771.13,2015-10-10,2015-12-14,2022-04-05
LOAN-1947,Morocco,Africa,Investment,Cancelled,2006-12-15,527839647.19,331440152.57,527839647.19,238474739.53,405852325.63,2006-10-30,2007-04-24,2017-06-19
LOAN-1948,Kenya,Africa,Education,Disbursing&Repaying,2017-04-29,135220370.44,0.0,105274766.61,33600443.47,89080721.26,2017-01-07,2017-07-18,2024-01-03
LOAN-1949,Nepal,Europe & Central Asia,Climate,Cancelled,2006-03-30,189887801.39,125439162.9,161618461.81,98753872.55,55420639.79,2006-01-15,2006-07-07,2016-05-26
LOAN-1950,Jordan,Latin America,Education,Cancelled,2008-03-23,184132048.16,123265991.72,86261876.57,43993434.65,95976826.84,2007-11-23,2008-06-10,2012-02-26
LOAN-1951,Peru,East Asia,Education,Effective,2019-03-08,418009366.07,0.0,335683315.5,206998093.25,132997723.84,2018-11-11,2019-11-03,2030-05-07
LOAN-1952,India,Europe & Central Asia,Health,Effective,2010-11-19,20721161.59,0.0,20721161.59,1649116.2,3220880.64,2010-07-01,2011-06-28,2014-07-23
LOAN-1953,Jordan,Europe & Central Asia,Education,Disbursing&Repaying,2000-04-07,527294114.94,0.0,233501031.07,177600092.2,76168626.46,1999-11-17,2000-12-28,2002-04-22
LOAN-1954,Kenya,South Asia,Climate,Effective,2021-08-06,165754032.65,0.0,165754032.65,15969410.61,82173351.22,2021-05-04,2021-10-06,2025-02-20
LOAN-1955,Peru,South Asia,Climate,Repaying,2010-01-10,422435736.04,0.0,343444994.79,173729702.44,327581528.55,2009-07-21,2010-04-29,2017-08-05
LOAN-1956,Nepal,South Asia,Health,Repaying,2005-06-06,484342022.38,0.0,435390125.28,78644469.01,48606892.65,2005-05-03,2005-11-09,2010-10-31
LOAN-1957,Indonesia,East Asia,Education,Effective,2018-02-23,19670548.44,0.0,15827780.99,5565720.54,14645378.97,2017-12-28,2018-07-23,2031-03-25
LOAN-1958,Nigeria,Europe & Central Asia,Agriculture,Disbursing&Repaying,2000-12-20,410385665.98,0.0,410385665.98,227945708.54,153593103.77,2000-11-04,2001-12-21,2007-03-10
LOAN-1959,Mexico,Europe & Central Asia,Health,Disbursing&Repaying,2004-06-26,446290508.59,0.0,373699045.81,160145945.42,119394824.06,2004-02-11,2005-01-30,2011-06-24
LOAN-1960,Bangladesh,East Asia,Education,Disbursing,2012-09-17,420103358.6,0.0,204115060.66,76585363.16,154860481.71,2012-08-08,2013-08-01,2022-04-08
LOAN-1961,India,Europe & Central Asia,Agriculture,Disbursing,2015-11-29,185143134.07,0.0,169607253.48,136347080.45,95331559.97,2015-07-23,2017-01-02,2027-01-04
LOAN-1962,Nigeria,South Asia,Education,Effective,2023-07-21,589143443.03,0.0,404269129.06,311390566.48,251802391.37,2023-03-02,2023-09-21,2028-04-14
LOAN-1963,Morocco,Africa,Climate,Repaying,2012-06-26,395280364.36,0.0,336193148.25,139027152.62,274323752.69,2012-03-31,2013-02-12,2014-11-01
LOAN-1964,Tanzania,East Asia,Infrastructure,Cancelled,2023-07-27,577720230.75,160405860.2,511093742.98,82969467.63,335872178.69,2023-04-26,2024-06-22,2032-03-12
LOAN-1965,Bangladesh,South Asia,Climate,Disbursing,2022-05-27,31732833.59,0.0,31732833.59,4546099.9,3884267.99,2022-01-16,2022-12-08,2028-05-31
LOAN-1966,Philippines,South Asia,Investment,Fully Repaid,2002-11-20,540377614.12,0.0,291370727.19,234036417.27,333337554.21,2002-06-07,2003-04-27,2006-04-10
LOAN-1967,Brazil,South Asia,Investment,Repaying,2014-05-28,267709429.33,0.0,187251419.23,106389637.08,19300401.59,2013-11-21,2015-02-12,2023-09-11
LOAN-1968,Morocco,Europe & Central Asia,Climate,Repaying,2009-01-09,336098590.93,0.0,187063857.49,82680862.66,187925079.17,2008-11-19,2009-09-18,2021-09-12
LOAN-1969,Pakistan,South Asia,Infrastructure,Repaying,2000-03-26,351354228.14,0.0,317375649.85,190994261.9,71203588.37,1999-12-03,2001-02-09,2013-04-24
LOAN-1970,Kenya,Africa,Agriculture,Fully Repaid,2008-07-12,115256091.96,0.0,113409884.44,92983590.48,61278700.05,2008-02-07,2009-04-10,2020-07-31
LOAN-1971,Ghana,Africa,Investment,Fully Repaid,2016-11-14,372994923.89,0.0,315910978.65,39200187.42,37436011.98,2016-06-12,2017-01-23,2020-07-17
LOAN-1972,Peru,Africa,Infrastructure,Disbursing,2010-01-18,65043237.36,0.0,51967582.0,2407715.65,29620919.06,2009-11-05,2010-09-04,2018-11-23
LOAN-1973,Kenya,Latin America,Infrastructure,Cancelled,2022-06-06,581028316.59,255380419.21,267169427.28,138345749.48,400849351.16,2022-05-13,2023-04-11,2025-09-26
LOAN-1974,Tanzania,Africa,Agriculture,Disbursing,2006-04-01,393673040.59,0.0,167633767.72,63577642.3,78885559.15,2005-11-02,2006-10-16,2008-06-19
LOAN-1975,Philippines,East Asia,Investment,Disbursing,2015-07-07,48382581.58,0.0,48382581.58,39378170.88,27932141.17,2015-03-13,2016-06-07,2018-02-21
LOAN-1976,Jordan,East Asia,Climate,Cancelled,2010-02-07,568227402.55,233061088.58,350259192.37,13158144.82,43583077.91,2009-09-28,2010-08-11,2016-01-12
LOAN-1977,India,South Asia,Health,Fully Repaid,2000-10-23,20680522.59,0.0,20680522.59,3651288.02,10466498.75,2000-06-12,2000-12-18,2010-04-25
LOAN-1978,Bangladesh,Latin America,Infrastructure,Cancelled,2016-06-29,260682595.95,82424546.33,193287507.24,23966372.71,98659145.08,2016-02-29,2016-08-27,2022-08-28
LOAN-1979,Philippines,South Asia,Investment,Cancelled,2002-01-20,355227396.98,257168112.27,206636028.66,139009867.16,254432157.25,2001-11-08,2002-03-20,2004-08-04
LOAN-1980,Brazil,Latin America,Agriculture,Repaying,2013-02-11,265940750.22,0.0,166499329.1,47071573.93,133452262.46,2012-08-30,2013-10-02,2024-09-02
LOAN-1981,Indonesia,South Asia,Education,Effective,2009-11-18,50444832.96,0.0,50444832.96,9346159.62,29204601.69,2009-05-10,2010-05-21,2018-12-06
LOAN-1982,Jordan,Africa,Investment,Cancelled,2022-08-01,522037711.02,121320791.67,310802790.43,249786182.05,150944182.49,2022-04-08,2023-08-27,2034-04-23
LOAN-1983,Nigeria,South Asia,Investment,Disbursing&Repaying,2009-06-15,126115186.38,0.0,64281565.15,56461363.41,28111320.34,2009-03-02,2009-09-25,2011-01-29
LOAN-1984,Philippines,East Asia,Infrastructure,Disbursing,2012-02-15,391695311.4,0.0,298867591.66,30728003.11,166149559.16,2011-09-08,2012-09-28,2019-09-06
LOAN-1985,Kenya,South Asia,Investment,Fully Repaid,2019-12-01,171060026.87,0.0,151866780.61,67705513.72,119242456.43,2019-09-25,2020-04-14,2029-03-30
LOAN-1986,Mexico,East Asia,Infrastructure,Disbursing,2015-01-30,321832702.91,0.0,298764367.29,8417832.3,200259508.98,2014-08-22,2015-06-19,2016-07-07
LOAN-1987,Vietnam,Europe & Central Asia,Health,Disbursing,2004-11-24,263275226.06,0.0,195360577.97,128215835.14,158376073.03,2004-08-07,2005-12-28,2012-03-01
LOAN-1988,Jordan,East Asia,Climate,Fully Repaid,2020-12-17,257181837.53,0.0,250849032.18,173615403.52,63028975.52,2020-10-08,2021-03-24,2022-02-14
LOAN-1989,Nigeria,Africa,Health,Fully Repaid,2001-09-24,55894436.09,0.0,33533648.51,16381995.48,16944357.21,2001-07-06,2002-04-27,2008-07-30
LOAN-1990,Nigeria,Europe & Central Asia,Education,Repaying,2019-11-28,12341774.06,0.0,7966814.16,4737855.05,8355379.15,2019-11-14,2020-08-09,2020-12-04
LOAN-1991,Egypt,South Asia,Infrastructure,Disbursing,2003-07-27,579701868.25,0.0,454582685.32,345434108.43,123697871.58,2003-02-11,2004-06-03,2011-06-07
LOAN-1992,Kenya,East Asia,Climate,Repaying,2010-03-15,111983326.33,0.0,111983326.33,27831205.82,78588949.78,2010-01-20,2010-06-28,2012-02-19
LOAN-1993,Philippines,South Asia,Health,Effective,2001-11-18,394487493.36,0.0,215944187.5,98480756.59,149996634.64,2001-05-09,2002-04-13,2004-01-25
LOAN-1994,Nigeria,Africa,Infrastructure,Disbursing,2010-07-12,14590313.46,0.0,14590313.46,11153807.22,6643422.25,2010-06-05,2010-09-19,2022-09-19
LOAN-1995,Egypt,South Asia,Investment,Disbursing&Repaying,2018-08-29,309066132.87,0.0,182220128.23,53428789.57,101534258.07,2018-03-08,2019-05-04,2025-10-30
LOAN-1996,Morocco,South Asia,Education,Disbursing&Repaying,2016-10-22,199291622.31,0.0,199291622.31,60083874.49,70968377.22,2016-07-29,2017-10-05,2018-04-30
LOAN-1997,Mexico,Africa,Infrastructure,Cancelled,2009-06-26,31543293.32,15975974.19,31543293.32,25887120.09,2181264.93,2008-12-09,2010-04-12,2018-01-08
LOAN-1998,Pakistan,East Asia,Investment,Disbursing&Repaying,2003-07-09,499282427.82,0.0,212734068.54,139050174.53,167667650.59,2003-05-03,2004-05-23,2015-08-19
LOAN-1999,Jordan,East Asia,Climate,Cancelled,2021-03-09,325685593.42,167620227.38,161863752.74,127974604.85,211257315.21,2020-11-07,2021-09-17,2028-01-17
LOAN-2000,Pakistan,Europe & Central Asia,Education,Effective,2010-05-10,179373858.77,0.0,106767481.56,23357095.77,112240063.97,2010-02-09,2010-08-07,2016-07-31
LOAN-2001,Egypt,East Asia,Health,Disbursing&Repaying,2021-09-19,220319290.1,0.0,150166915.45,68337824.52,162149849.53,2021-07-13,2022-06-05,2031-12-07
LOAN-2002,Philippines,Europe & Central Asia,Health,Fully Repaid,2006-03-13,497553557.13,0.0,497553557.13,414534384.36,116282220.62,2005-12-27,2006-09-05,2014-09-05
LOAN-2003,Vietnam,South Asia,Agriculture,Disbursing&Repaying,2008-11-19,53496044.6,0.0,39416852.45,34880878.36,25785564.96,2008-07-16,2008-12-26,2013-06-12
LOAN-2004,Indonesia,East Asia,Education,Repaying,2001-07-12,161708792.86,0.0,136427729.06,114205377.66,98179956.44,2001-06-26,2002-07-30,2006-02-03
LOAN-2005,Kenya,Latin America,Climate,Repaying,2018-01-17,311363769.85,0.0,256391794.33,89558350.67,114198583.22,2017-08-18,2018-06-19,2025-06-12
LOAN-2006,Indonesia,Africa,Investment,Disbursing&Repaying,2002-01-11,538968660.87,0.0,538968660.87,286909296.07,276206452.89,2001-06-26,2002-08-10,2012-12-01
LOAN-2007,Colombia,East Asia,Climate,Disbursing&Repaying,2008-03-24,445715000.31,0.0,333640906.39,227507751.64,256324130.98,2007-10-16,2009-01-08,2010-12-05
LOAN-2008,Morocco,South Asia,Health,Fully Repaid,2007-12-05,358164205.61,0.0,249246158.0,145675477.3,119817006.85,2007-05-25,2008-10-31,2015-01-05
LOAN-2009,Indonesia,Latin America,Education,Cancelled,2022-10-18,181922377.0,67521276.16,122414433.9,62152036.58,131525552.32,2022-07-02,2023-04-29,2027-08-14
LOAN-2010,Morocco,South Asia,Health,Cancelled,2012-06-24,489322372.21,356104476.75,483304000.0,430278222.37,101784199.55,2012-03-26,2012-09-12,2021-02-02
LOAN-2011,Nepal,Latin America,Health,Effective,2011-08-21,75537891.17,0.0,46763907.02,18472915.65,53934951.11,2011-07-15,2012-01-16,2018-09-15
LOAN-2012,Morocco,South Asia,Health,Disbursing,2024-03-19,128071651.67,0.0,128071651.67,87009096.48,9030664.32,2024-01-20,2024-04-21,2035-12-27
LOAN-2013,India,Africa,Education,Cancelled,2005-08-29,125868858.64,47448147.84,125868858.64,64702716.39,75403887.58,2005-07-22,2006-09-29,2009-03-03
LOAN-2014,Egypt,East Asia,Infrastructure,Disbursing&Repaying,2005-03-23,298487052.33,0.0,140137003.71,17255942.71,77260358.57,2005-02-21,2005-08-13,2007-09-18
LOAN-2015,Vietnam,Latin America,Investment,Disbursing,2014-02-13,306700802.74,0.0,190426364.62,108078682.27,133302316.0,2013-10-16,2014-05-05,2026-08-19
LOAN-2016,Vietnam,Latin America,Agriculture,Disbursing&Repaying,2000-05-10,505651469.25,0.0,469701845.16,370978116.55,38797190.9,2000-03-26,2001-04-05,2009-08-12
LOAN-2017,Philippines,Latin America,Agriculture,Effective,2005-11-29,162845197.84,0.0,84866202.47,62162962.89,97734886.05,2005-06-10,2006-02-12,2018-04-24
LOAN-2018,Pakistan,South Asia,Climate,Disbursing,2018-10-04,263419674.93,0.0,208774032.95,114845649.5,153440085.79,2018-07-19,2019-09-13,2028-02-09
LOAN-2019,Philippines,Africa,Climate,Repaying,2013-02-07,293118672.45,0.0,271296800.16,43965790.01,80629744.4,2012-09-26,2013-11-14,2022-09-20
LOAN-2020,Ghana,Europe & Central Asia,Education,Effective,2018-10-27,291170636.27,0.0,138954368.82,14052549.67,206926641.35,2018-07-26,2019-04-01,2029-03-03
LOAN-2021,Indonesia,Latin America,Education,Disbursing&Repaying,2005-09-29,281517879.73,0.0,184429334.41,18845480.72,161232731.81,2005-05-17,2006-09-01,2015-10-22
LOAN-2022,Philippines,South Asia,Infrastructure,Disbursing,2014-07-01,178103490.36,0.0,143549618.37,114958776.55,113473459.78,2013-12-31,2015-01-09,2024-07-16
LOAN-2023,Bangladesh,East Asia,Climate,Repaying,2015-03-30,257993572.0,0.0,157004440.88,7719912.99,106842631.45,2015-03-09,2015-10-03,2026-02-07
LOAN-2024,Colombia,Latin America,Agriculture,Cancelled,2014-10-15,345640889.53,194587775.44,184305439.8,34203539.79,179375482.44,2014-09-30,2015-11-18,2016-01-30
LOAN-2025,Bangladesh,South Asia,Health,Disbursing,2002-03-17,469357947.93,0.0,312888306.73,99320313.76,293118593.93,2002-01-13,2002-10-18,2015-01-14
LOAN-2026,Pakistan,Latin America,Infrastructure,Repaying,2016-10-08,503698686.17,0.0,360860332.11,233129651.1,134810225.15,2016-06-15,2017-02-25,2029-12-28
LOAN-2027,Philippines,South Asia,Investment,Fully Repaid,2021-10-01,26464608.63,0.0,11009877.9,9317876.27,3358108.69,2021-08-12,2022-03-24,2029-05-01
LOAN-2028,India,Latin America,Agriculture,Fully Repaid,2017-12-22,380775524.52,0.0,361910391.34,11002152.78,233200846.32,2017-06-06,2018-06-08,2020-09-12
LOAN-2029,Kenya,South Asia,Health,Disbursing&Repaying,2024-04-19,305183249.49,0.0,293827806.13,193742694.5,19872200.68,2024-03-02,2024-07-06,2033-11-22
LOAN-2030,Pakistan,Europe & Central Asia,Education,Effective,2012-04-17,516285320.41,0.0,516285320.41,197550091.84,313701423.53,2012-02-16,2012-07-07,2019-01-15
LOAN-2031,Tanzania,East Asia,Climate,Fully Repaid,2012-10-03,178286999.06,0.0,84588251.73,73608501.83,83928104.56,2012-05-10,2013-07-19,2019-01-23
LOAN-2032,Bangladesh,South Asia,Education,Disbursing&Repaying,2004-11-09,595926603.68,0.0,585227315.25,501136965.39,370681416.82,2004-09-03,2005-09-30,2006-03-27
LOAN-2033,Bangladesh,Latin America,Investment,Repaying,2003-10-02,271015745.44,0.0,211783913.72,20766176.53,76685901.2,2003-05-02,2004-01-26,2009-03-25
LOAN-2034,Tanzania,Europe & Central Asia,Investment,Disbursing&Repaying,2010-06-05,153731589.73,0.0,78874213.9,43762539.14,62282200.29,2010-01-20,2010-11-11,2020-06-25
LOAN-2035,Nepal,Africa,Climate,Disbursing,2012-01-11,501422436.23,0.0,215214404.67,133453987.61,250233647.21,2011-11-09,2012-11-23,2023-10-23
LOAN-2036,Jordan,East Asia,Investment,Cancelled,2003-08-27,191244624.67,87096859.42,176252365.63,51052231.25,111237651.84,2003-07-29,2004-04-05,2007-04-30
LOAN-2037,India,Latin America,Education,Disbursing,2001-10-01,314363715.95,0.0,156296028.08,27762996.42,220781372.35,2001-05-18,2002-01-26,2014-05-03
LOAN-2038,Tanzania,Latin America,Climate,Fully Repaid,2013-03-13,450651092.68,0.0,377496017.49,135696640.84,122830934.28,2012-09-11,2013-08-28,2025-09-26
LOAN-2039,Vietnam,Europe & Central Asia,Health,Disbursing&Repaying,2009-03-03,534279330.49,0.0,454697519.43,67909577.1,142998572.64,2008-08-23,2009-10-09,2021-08-21
LOAN-2040,Nigeria,East Asia,Health,Repaying,2007-05-14,280413698.74,0.0,280413698.74,233969236.12,165471476.7,2006-11-02,2008-02-10,2008-05-28
LOAN-2041,Vietnam,East Asia,Agriculture,Disbursing&Repaying,2008-06-01,111639339.81,0.0,86676197.22,77486724.86,6051055.61,2007-11-27,2008-08-18,2021-04-19
LOAN-2042,Egypt,Africa,Infrastructure,Disbursing&Repaying,2010-02-20,61355167.67,0.0,55218314.06,29542295.81,6140363.9,2009-09-03,2010-03-29,2015-04-13
LOAN-2043,Nigeria,Africa,Infrastructure,Cancelled,2018-02-02,493348886.16,264764253.02,493348886.16,259512144.09,137798629.4,2017-08-12,2019-02-04,2023-06-15
LOAN-2044,Kenya,Europe & Central Asia,Health,Disbursing,2005-09-06,95690972.81,0.0,94210294.97,23739767.73,23655115.91,2005-03-30,2006-09-01,2015-02-03
LOAN-2045,Vietnam,Europe & Central Asia,Agriculture,Cancelled,2021-03-27,464327316.19,139697345.99,405699482.57,101227600.9,304354802.08,2021-01-17,2021-08-14,2024-02-08
LOAN-2046,Morocco,Latin America,Health,Disbursing,2006-02-22,103066940.44,0.0,103066940.44,29992901.04,74410724.33,2005-10-23,2006-10-27,2017-07-18
LOAN-2047,Vietnam,Africa,Infrastructure,Fully Repaid,2021-04-13,302723187.56,0.0,149495970.43,75365496.51,100801422.01,2021-01-14,2022-02-04,2029-03-18
LOAN-2048,Peru,South Asia,Education,Effective,2006-05-30,530554937.31,0.0,530554937.31,456183927.28,402753510.9,2005-12-28,2007-02-10,2018-03-22
LOAN-2049,Nigeria,South Asia,Climate,Effective,2020-11-27,336953525.36,0.0,252152666.94,79015175.01,23240245.99,2020-08-21,2021-08-01,2026-07-10
LOAN-2050,Jordan,Latin America,Health,Fully Repaid,2016-03-11,232562162.26,0.0,126328808.42,85002315.23,13489609.22,2016-01-12,2016-04-12,2023-12-22
LOAN-2051,Vietnam,South Asia,Climate,Effective,2001-07-03,547069249.75,0.0,547069249.75,247556505.73,32685132.05,2001-04-14,2002-06-26,2013-01-22
LOAN-2052,Bangladesh,South Asia,Climate,Cancelled,2001-05-13,597464019.8,452008359.22,575603760.67,142033939.19,55516506.26,2000-11-29,2002-05-01,2012-05-18
LOAN-2053,Tanzania,Latin America,Investment,Disbursing,2016-07-29,286701807.65,0.0,286701807.65,193675016.97,187953968.16,2016-02-14,2017-08-28,2020-10-30
LOAN-2054,Mexico,Latin America,Infrastructure,Disbursing&Repaying,2002-10-18,54280649.35,0.0,54280649.35,5834306.12,20764167.03,2002-09-14,2003-08-22,2009-11-03
LOAN-2055,Pakistan,Europe & Central Asia,Health,Disbursing&Repaying,2007-08-04,443784911.15,0.0,295619326.07,178788153.26,321633053.25,2007-01-22,2008-03-08,2019-12-28
LOAN-2056,India,East Asia,Climate,Cancelled,2006-08-13,252745343.06,90983661.65,236109131.24,13065114.22,49210769.85,2006-06-20,2007-04-27,2008-06-07
LOAN-2057,Nigeria,Europe & Central Asia,Infrastructure,Disbursing,2013-12-16,123216623.66,0.0,99112083.92,15428916.08,75177089.22,2013-07-16,2014-07-13,2017-06-02
LOAN-2058,Vietnam,East Asia,Agriculture,Disbursing,2004-01-23,343063093.11,0.0,328322957.78,167303647.7,136283195.95,2003-07-11,2004-04-06,2009-01-16
LOAN-2059,Vietnam,Europe & Central Asia,Education,Disbursing&Repaying,2016-10-19,377841840.23,0.0,157214661.2,23959869.12,21850226.53,2016-09-19,2017-11-23,2023-02-26
LOAN-2060,Nepal,Latin America,Infrastructure,Effective,2007-12-26,449708017.59,0.0,445430563.58,124470384.36,150419616.03,2007-11-11,2008-11-09,2015-11-18
LOAN-2061,Colombia,Latin America,Infrastructure,Effective,2019-09-20,501988782.08,0.0,310349313.3,55646308.52,393789445.7,2019-08-18,2020-06-26,2028-07-03
LOAN-2062,Ghana,Africa,Health,Repaying,2001-08-24,464560473.91,0.0,380212174.0,283847424.64,262606700.53,2001-05-08,2001-12-11,2014-07-13
LOAN-2063,Pakistan,East Asia,Health,Disbursing&Repaying,2022-08-06,211418310.77,0.0,211418310.77,151511719.03,43464479.57,2022-01-18,2023-01-20,2025-06-14
LOAN-2064,Peru,Latin America,Education,Disbursing&Repaying,2008-05-12,158637240.45,0.0,122809108.2,3475896.36,21649801.52,2008-03-28,2009-02-05,2016-06-04
